dept,Month of resignation,age_group,POSTDIC SCORE 2021,postdic,promoted,travel,distance,marital,edu,grad,Status,age_left,age_joined,duration,salary,experience
FINANCE,8.0,30-34,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,YES,22.0,Married,PC,L,left,31.0,29,29,6800.0,8.0
DIGITAL MARKETING,8.0,35-39,NOT APPLICABLE,NOT APPLICABLE,NO,NO,36.0,Married,STP,L,left,35.0,32,43,2713.33,6.0
CREATIVE,,30-34,1.1 - 2.9 [Req Imp],3.0 - 3.9 [Good Work Attitude],NO,NO,28.0,Married,Dg,L,stay,34.0,27,79,8910.0,13.0
CREATIVE,,30-34,3.0 - 3.9 [Good Work Attitude],Above 4.0 [Positive Influence],NO,NO,36.0,Married,Dip,L,stay,32.0,25,79,4010.0,10.0
CALL CENTRE,,30-34,3.0 - 3.9 [Good Work Attitude],1.1 - 2.9 [Req Imp],NO,NO,35.0,Married,Dip,L,stay,34.0,27,79,7100.0,13.0
CORPORATE SERVICES,12.0,55-59,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,NO,14.0,Married,Dg,O,left,58.0,52,73,7050.0,33.0
CORPORATE SERVICES,,55-59,NOT APPLICABLE,NOT APPLICABLE,NO,NO,6.0,Widow,HS,L,stay,56.0,49,79,2200.0,13.0
CALL CENTRE,11.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,32.0,Married,HS,L,left,27.0,23,57,2378.75,8.0
CORPORATE SERVICES,7.0,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,8.0,Married,Dip,L,left,31.0,28,77,1375.0,15.0
CALL CENTRE,7.0,25-29,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,NO,28.0,Single,Dg,L,left,28.0,23,65,1601.56,10.0
CALL CENTRE,,25-29,3.0 - 3.9 [Good Work Attitude],Above 4.0 [Positive Influence],NO,NO,55.0,Married,HS,L,stay,29.0,23,77,3300.0,6.0
CALL CENTRE,,30-34,Above 4.0 [Positive Influence],Above 4.0 [Positive Influence],NO,NO,7.0,Married,Dg,L,stay,31.0,25,77,3000.0,8.0
CALL CENTRE,,25-29,Above 4.0 [Positive Influence],Above 4.0 [Positive Influence],NO,NO,4.0,Single,Dip,L,stay,29.0,23,77,3000.0,8.0
CALL CENTRE,5.0,35-39,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.0,Married,HS,L,left,32.0,29,39,2449.0,12.0
CALL CENTRE,3.0,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,18.710045662100455,Married,Cert,L,left,30.0,27,38,2449.0,8.0
CREATIVE,,30-34,3.0 - 3.9 [Good Work Attitude],3.0 - 3.9 [Good Work Attitude],NO,NO,11.0,Married,Dg,L,stay,30.0,24,76,4950.0,13.0
CALL CENTRE,3.0,30-34,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,YES,20.7,Single,Dg,L,left,34.0,28,74,2825.0,16.0
COMMERCIAL,6.0,25-29,Above 4.0 [Positive Influence],NOT APPLICABLE,NO,YES,8.0,Single,Dg,O,left,27.0,22,56,4260.0,6.0
